eta,attack,drift,shots,n_repeats,n_eff,qber_mean_det,qber_obs_mean,qber_obs_sd,qber_obs_ci_low,qber_obs_ci_med,qber_obs_ci_high,margin_mean,margin_sd,margin_ci_low,margin_ci_med,margin_ci_high,psi_mean,psi_sd,psi_ci_low,psi_ci_med,psi_ci_high,mean_leakage,p_secure,p_transition,p_insecure,dominant_phase
0.01,0.05,0.005,10000,250,9855,0.026935984262542338,0.0267478437341451,0.0016456261996620094,0.023384069000507355,0.0267376966007103,0.029934043632673768,0.6115883805197557,0.017093019227991883,0.5789374609504834,0.6115436757073591,0.6469776116212884,5.559894368361416,0.15539108389083536,5.263067826822576,5.559487960975992,5.8816146511026215,0.05706088280060883,1.0,0.0,0.0,secure
0.0125,0.05,0.005,10000,250,9855,0.02943598426254234,0.029442922374429224,0.0016922513722213023,0.026405377980720447,0.029426686960933535,0.03297818366311517,0.5840223441766875,0.01704926971768407,0.5488311118156881,0.5840423791260008,0.6149965110522281,5.309294037969886,0.15499336106985515,4.989373743778983,5.309476173872734,5.590877373202074,0.05908219178082191,1.0,0.0,0.0,secure
0.015,0.05,0.005,10000,250,9855,0.031935984262542336,0.03189325215626586,0.0018287837194027661,0.028074581430745815,0.03191273465246068,0.03595383054287164,0.559616544351418,0.018012117664200116,0.5202148184234365,0.5592690508273759,0.5977760510016148,5.087423130467436,0.16374652422000105,4.72922562203124,5.0842640984306895,5.434327736378315,0.06091993911719939,1.0,0.0,0.0,secure
0.0175,0.05,0.005,10000,250,9855,0.03443598426254234,0.034530695078640275,0.001809453107944795,0.0308701166920345,0.034703196347031964,0.038006088280060885,0.5339463911854013,0.017417233531833817,0.5009111582579638,0.5321482166222242,0.5695858002033897,4.8540581016854665,0.15833848665303474,4.553737802345125,4.837711060202039,5.178052729121724,0.06289802130898021,1.0,0.0,0.0,secure
0.02,0.05,0.005,10000,250,9855,0.03693598426254233,0.03689700659563674,0.001870938395776834,0.03340690005073566,0.036834094368340946,0.04031709791983765,0.5114417002191288,0.017595458444792125,0.4795716541812102,0.5118926455635238,0.5446603752246023,4.64947000199208,0.15995871313447385,4.359742310738275,4.6535695051229435,4.951457956587293,0.06467275494672756,1.0,0.0,0.0,secure
0.0225,0.05,0.005,10000,250,9855,0.039435984262542335,0.03954743784880771,0.002007260064048332,0.03584221207508879,0.0395738203957382,0.04338406900050736,0.4867850639651656,0.018466750202886892,0.4518627298889381,0.48638992900409034,0.5212739723876705,4.425318763319687,0.16787954729897173,4.107842998990347,4.421726627309912,4.738854294433368,0.06666057838660579,1.0,0.0,0.0,secure
0.025,0.05,0.005,10000,250,9855,0.04193598426254234,0.04221735159817352,0.002027595342241959,0.03815322171486555,0.04221207508878742,0.045966514459665146,0.4624698066537683,0.01826591483668724,0.4290406730295904,0.46237116479990276,0.4995399364563869,4.204270969579712,0.16605377124261125,3.9003697548144585,4.203374225453661,4.541272149603517,0.06866301369863015,1.0,0.0,0.0,secure
0.027500000000000004,0.05,0.005,10000,250,9855,0.04443598426254234,0.04447610350076103,0.001986589559408251,0.04101725012683917,0.044545915778792494,0.04807458143074582,0.4422901574667526,0.017577304407114674,0.410737638863144,0.44153905728439674,0.4731855709322732,4.0208196133341145,0.15979367642831516,3.733978535119491,4.0139914298581525,4.301687008475211,0.07035707762557078,1.0,0.0,0.0,secure
0.03,0.05,0.005,10000,250,9855,0.04693598426254234,0.04715454084221207,0.00200397757045792,0.04335109081684424,0.0471841704718417,0.050532724505327246,0.4188191216413012,0.01738757621393765,0.3897481513117313,0.41843361879451774,0.45215692392703566,3.8074465603754657,0.15806887467216046,3.54316501192483,3.8039419890410704,4.110517490245779,0.07236590563165907,1.0,0.0,0.0,secure
0.0325,0.05,0.005,10000,250,9855,0.049435984262542344,0.04959188229325216,0.0022537679021585877,0.04530187721968544,0.04972095383054287,0.05357686453576865,0.397893077581817,0.019224335675840115,0.3642570966852247,0.3966386157338165,0.43487159926265384,3.6172097961983365,0.1747666879621829,3.311428151683861,3.60580559758015,3.9533781751150348,0.07419391171993912,1.0,0.0,0.0,secure
