drift,attack,eta,p_secure,p_transition,p_insecure,phase_margin
0.005,0.05,0.01,1.0,0.0,0.0,0.01
0.005,0.05,0.0125,1.0,0.0,0.0,0.01
0.005,0.05,0.015,1.0,0.0,0.0,0.01
0.005,0.05,0.0175,1.0,0.0,0.0,0.01
0.005,0.05,0.02,1.0,0.0,0.0,0.01
0.005,0.05,0.0225,1.0,0.0,0.0,0.01
0.005,0.05,0.025,1.0,0.0,0.0,0.01
0.005,0.05,0.027500000000000004,1.0,0.0,0.0,0.01
0.005,0.05,0.03,1.0,0.0,0.0,0.01
0.005,0.05,0.0325,1.0,0.0,0.0,0.01
0.005,0.05,0.035,1.0,0.0,0.0,0.01
0.005,0.05,0.0375,1.0,0.0,0.0,0.01
0.005,0.05,0.04,1.0,0.0,0.0,0.01
0.005,0.05,0.0425,1.0,0.0,0.0,0.01
0.005,0.05,0.045000000000000005,1.0,0.0,0.0,0.01
0.005,0.05,0.0475,1.0,0.0,0.0,0.01
0.005,0.05,0.05,1.0,0.0,0.0,0.01
0.005,0.05,0.052500000000000005,1.0,0.0,0.0,0.01
0.005,0.05,0.055,1.0,0.0,0.0,0.01
0.005,0.05,0.0575,1.0,0.0,0.0,0.01
0.005,0.05,0.060000000000000005,1.0,0.0,0.0,0.01
0.005,0.05,0.0625,1.0,0.0,0.0,0.01
0.005,0.05,0.065,1.0,0.0,0.0,0.01
0.005,0.05,0.0675,1.0,0.0,0.0,0.01
0.005,0.05,0.06999999999999999,1.0,0.0,0.0,0.01
0.005,0.05,0.0725,1.0,0.0,0.0,0.01
0.005,0.05,0.075,1.0,0.0,0.0,0.01
0.005,0.05,0.0775,1.0,0.0,0.0,0.01
0.005,0.05,0.08,1.0,0.0,0.0,0.01
0.005,0.05,0.08249999999999999,0.936,0.016,0.048,0.01
0.005,0.05,0.08499999999999999,0.732,0.048,0.22,0.01
0.005,0.05,0.0875,0.512,0.032,0.456,0.01
0.005,0.05,0.09,0.2,0.024,0.776,0.01
0.005,0.05,0.0925,0.048,0.008,0.944,0.01
0.005,0.05,0.095,0.012,0.0,0.988,0.01
0.005,0.05,0.0975,0.004,0.0,0.996,0.01
0.005,0.05,0.09999999999999999,0.0,0.0,1.0,0.01
0.005,0.05,0.1025,0.0,0.0,1.0,0.01
0.005,0.05,0.105,0.0,0.0,1.0,0.01
0.005,0.05,0.1075,0.0,0.0,1.0,0.01
0.005,0.05,0.11,0.0,0.0,1.0,0.01
0.005,0.05,0.1125,0.0,0.0,1.0,0.01
0.005,0.05,0.11499999999999999,0.0,0.0,1.0,0.01
0.005,0.05,0.1175,0.0,0.0,1.0,0.01
0.005,0.05,0.12,0.0,0.0,1.0,0.01
0.005,0.05,0.1225,0.0,0.0,1.0,0.01
0.005,0.05,0.125,0.0,0.0,1.0,0.01
0.005,0.05,0.1275,0.0,0.0,1.0,0.01
0.005,0.05,0.13,0.0,0.0,1.0,0.01
0.005,0.05,0.1325,0.0,0.0,1.0,0.01
0.005,0.05,0.135,0.0,0.0,1.0,0.01
0.005,0.05,0.1375,0.0,0.0,1.0,0.01
0.005,0.05,0.14,0.0,0.0,1.0,0.01
0.005,0.05,0.14250000000000002,0.0,0.0,1.0,0.01
0.005,0.05,0.14500000000000002,0.0,0.0,1.0,0.01
0.005,0.05,0.14750000000000002,0.0,0.0,1.0,0.01
0.005,0.05,0.15000000000000002,0.0,0.0,1.0,0.01
0.005,0.05,0.15250000000000002,0.0,0.0,1.0,0.01
0.005,0.05,0.155,0.0,0.0,1.0,0.01
0.005,0.05,0.1575,0.0,0.0,1.0,0.01
0.005,0.05,0.16,0.0,0.0,1.0,0.01
0.005,0.05,0.1625,0.0,0.0,1.0,0.01
0.005,0.05,0.165,0.0,0.0,1.0,0.01
0.005,0.05,0.1675,0.0,0.0,1.0,0.01
0.005,0.05,0.17,0.0,0.0,1.0,0.01
0.005,0.05,0.17250000000000001,0.0,0.0,1.0,0.01
0.005,0.05,0.17500000000000002,0.0,0.0,1.0,0.01
0.005,0.05,0.17750000000000002,0.0,0.0,1.0,0.01
0.005,0.05,0.18000000000000002,0.0,0.0,1.0,0.01
0.005,0.05,0.18250000000000002,0.0,0.0,1.0,0.01
0.005,0.05,0.18500000000000003,0.0,0.0,1.0,0.01
0.005,0.05,0.1875,0.0,0.0,1.0,0.01
0.005,0.05,0.19,0.0,0.0,1.0,0.01
0.005,0.05,0.1925,0.0,0.0,1.0,0.01
0.005,0.05,0.195,0.0,0.0,1.0,0.01
0.005,0.05,0.1975,0.0,0.0,1.0,0.01
0.005,0.05,0.2,0.0,0.0,1.0,0.01
0.005,0.05,0.2025,0.0,0.0,1.0,0.01
0.005,0.05,0.20500000000000002,0.0,0.0,1.0,0.01
0.005,0.05,0.20750000000000002,0.0,0.0,1.0,0.01
0.005,0.05,0.21000000000000002,0.0,0.0,1.0,0.01
0.005,0.05,0.21250000000000002,0.0,0.0,1.0,0.01
0.005,0.05,0.21500000000000002,0.0,0.0,1.0,0.01
0.005,0.05,0.21750000000000003,0.0,0.0,1.0,0.01
0.005,0.05,0.22,0.0,0.0,1.0,0.01
0.005,0.1,0.01,1.0,0.0,0.0,0.01
0.005,0.1,0.0125,1.0,0.0,0.0,0.01
0.005,0.1,0.015,1.0,0.0,0.0,0.01
0.005,0.1,0.0175,1.0,0.0,0.0,0.01
0.005,0.1,0.02,1.0,0.0,0.0,0.01
0.005,0.1,0.0225,1.0,0.0,0.0,0.01
0.005,0.1,0.025,1.0,0.0,0.0,0.01
0.005,0.1,0.027500000000000004,1.0,0.0,0.0,0.01
0.005,0.1,0.03,1.0,0.0,0.0,0.01
0.005,0.1,0.0325,1.0,0.0,0.0,0.01
0.005,0.1,0.035,1.0,0.0,0.0,0.01
0.005,0.1,0.0375,1.0,0.0,0.0,0.01
0.005,0.1,0.04,1.0,0.0,0.0,0.01
0.005,0.1,0.0425,1.0,0.0,0.0,0.01
0.005,0.1,0.045000000000000005,1.0,0.0,0.0,0.01
0.005,0.1,0.0475,1.0,0.0,0.0,0.01
0.005,0.1,0.05,1.0,0.0,0.0,0.01
0.005,0.1,0.052500000000000005,1.0,0.0,0.0,0.01
0.005,0.1,0.055,1.0,0.0,0.0,0.01
0.005,0.1,0.0575,1.0,0.0,0.0,0.01
0.005,0.1,0.060000000000000005,1.0,0.0,0.0,0.01
0.005,0.1,0.0625,1.0,0.0,0.0,0.01
0.005,0.1,0.065,1.0,0.0,0.0,0.01
0.005,0.1,0.0675,1.0,0.0,0.0,0.01
0.005,0.1,0.06999999999999999,1.0,0.0,0.0,0.01
0.005,0.1,0.0725,1.0,0.0,0.0,0.01
0.005,0.1,0.075,0.996,0.0,0.004,0.01
0.005,0.1,0.0775,0.996,0.0,0.004,0.01
0.005,0.1,0.08,0.948,0.008,0.044,0.01
0.005,0.1,0.08249999999999999,0.764,0.032,0.204,0.01
0.005,0.1,0.08499999999999999,0.428,0.068,0.504,0.01
0.005,0.1,0.0875,0.204,0.04,0.756,0.01
0.005,0.1,0.09,0.056,0.004,0.94,0.01
0.005,0.1,0.0925,0.008,0.0,0.992,0.01
0.005,0.1,0.095,0.0,0.0,1.0,0.01
0.005,0.1,0.0975,0.0,0.0,1.0,0.01
0.005,0.1,0.09999999999999999,0.0,0.0,1.0,0.01
0.005,0.1,0.1025,0.0,0.0,1.0,0.01
0.005,0.1,0.105,0.0,0.0,1.0,0.01
0.005,0.1,0.1075,0.0,0.0,1.0,0.01
0.005,0.1,0.11,0.0,0.0,1.0,0.01
0.005,0.1,0.1125,0.0,0.0,1.0,0.01
0.005,0.1,0.11499999999999999,0.0,0.0,1.0,0.01
0.005,0.1,0.1175,0.0,0.0,1.0,0.01
0.005,0.1,0.12,0.0,0.0,1.0,0.01
0.005,0.1,0.1225,0.0,0.0,1.0,0.01
0.005,0.1,0.125,0.0,0.0,1.0,0.01
0.005,0.1,0.1275,0.0,0.0,1.0,0.01
0.005,0.1,0.13,0.0,0.0,1.0,0.01
0.005,0.1,0.1325,0.0,0.0,1.0,0.01
0.005,0.1,0.135,0.0,0.0,1.0,0.01
0.005,0.1,0.1375,0.0,0.0,1.0,0.01
0.005,0.1,0.14,0.0,0.0,1.0,0.01
0.005,0.1,0.14250000000000002,0.0,0.0,1.0,0.01
0.005,0.1,0.14500000000000002,0.0,0.0,1.0,0.01
