attack,drift,offset,eta,n_generated,n_excluded_early_crossing,n_retained,n_positive,n_negative
0.05,0.005,-0.008,0.07923684210526316,200,0,200,4,196
0.05,0.005,-0.004,0.08323684210526315,200,2,198,134,64
0.05,0.005,-0.002,0.08523684210526315,200,5,195,192,3
0.05,0.005,0.0,0.08723684210526315,200,39,161,161,0
0.05,0.005,0.002,0.08923684210526316,200,117,83,83,0
0.05,0.005,0.004,0.09123684210526316,200,186,14,14,0
0.05,0.005,0.008,0.09523684210526315,200,200,0,0,0
0.1,0.005,-0.008,0.07641176470588235,200,0,200,3,197
0.1,0.005,-0.004,0.08041176470588234,200,2,198,129,69
0.1,0.005,-0.002,0.08241176470588234,200,9,191,189,2
0.1,0.005,0.0,0.08441176470588234,200,35,165,165,0
0.1,0.005,0.002,0.08641176470588234,200,104,96,96,0
0.1,0.005,0.004,0.08841176470588234,200,185,15,15,0
0.1,0.005,0.008,0.09241176470588233,200,200,0,0,0
0.15,0.005,-0.008,0.07404545454545453,200,0,200,6,194
0.15,0.005,-0.004,0.07804545454545453,200,1,199,157,42
0.15,0.005,-0.002,0.08004545454545453,200,10,190,190,0
0.15,0.005,0.0,0.08204545454545453,200,43,157,157,0
0.15,0.005,0.002,0.08404545454545453,200,136,64,64,0
0.15,0.005,0.004,0.08604545454545454,200,194,6,6,0
0.15,0.005,0.008,0.09004545454545454,200,200,0,0,0
0.2,0.005,-0.008,0.07092045454545454,200,0,200,6,194
0.2,0.005,-0.004,0.07492045454545454,200,2,198,137,61
0.2,0.005,-0.002,0.07692045454545454,200,6,194,193,1
0.2,0.005,0.0,0.07892045454545454,200,38,162,162,0
0.2,0.005,0.002,0.08092045454545455,200,122,78,78,0
0.2,0.005,0.004,0.08292045454545455,200,191,9,9,0
0.2,0.005,0.008,0.08692045454545455,200,200,0,0,0
0.25,0.005,-0.008,0.06835135135135134,200,0,200,6,194
0.25,0.005,-0.004,0.07235135135135135,200,2,198,141,57
0.25,0.005,-0.002,0.07435135135135135,200,9,191,190,1
0.25,0.005,0.0,0.07635135135135135,200,37,163,163,0
0.25,0.005,0.002,0.07835135135135135,200,136,64,64,0
0.25,0.005,0.004,0.08035135135135135,200,190,10,10,0
0.25,0.005,0.008,0.08435135135135136,200,200,0,0,0
0.3,0.005,-0.008,0.06558108108108107,200,0,200,7,193
