attack,drift,n,n_positive,n_negative,auc
0.05,0.005,198,134,64,0.498017723880597
0.05,0.01,200,122,78,0.5332072299285414
0.05,0.02,200,142,58,0.5163914521612433
0.05,0.03,200,138,62,0.5500233754090696
0.1,0.005,198,129,69,0.5916189192225593
0.1,0.01,199,130,69,0.40406911928651057
0.1,0.02,200,155,45,0.5719713261648746
0.1,0.03,199,144,55,0.5558080808080809
0.15,0.005,199,157,42,0.4395662723688201
0.15,0.01,198,159,39,0.5410417674568618
0.15,0.02,200,155,45,0.4996415770609319
0.15,0.03,200,132,68,0.4713680926916221
0.2,0.005,198,137,61,0.4436998923058514
0.2,0.01,198,140,58,0.4782019704433498
0.2,0.02,199,135,64,0.5454861111111111
0.2,0.03,199,142,57,0.4116011860637509
0.25,0.005,198,141,57,0.537016299614284
0.25,0.01,197,158,39,0.5158227848101266
0.25,0.02,200,150,50,0.6043333333333333
0.25,0.03,200,162,38,0.4934210526315789
0.3,0.005,199,151,48,0.4666114790286976
0.3,0.01,199,138,61,0.6193870277975766
0.3,0.02,200,153,47,0.5976915588930608
0.3,0.03,200,153,47,0.5172437769434015
0.35,0.005,198,172,26,0.5105098389982111
0.35,0.01,198,135,63,0.5194591416813639
0.35,0.02,200,166,34,0.5947909284195606
0.35,0.03,199,151,48,0.5280077262693157
0.4,0.005,199,127,72,0.489501312335958
0.4,0.01,199,146,53,0.4815197725510468
0.4,0.02,199,131,68,0.5116187696452626
0.4,0.03,199,155,44,0.5126099706744868
