replicate,mean_boundary,w_a,w_d,r_a,r_d,kappa,w_M
0,0.06584746031274431,0.04957270129743866,0.9658774902131688,0.17161109376569902,1.15422138528892,2.3622780081717596,1.399621324108107
1,0.06680702619814048,0.05202492389153294,0.8679137818560327,0.1832783766859648,1.1601972015601358,2.4740942020212815,1.3572898912388223
2,0.06376424497031069,0.05730243636932549,0.9674688599633889,0.17227988910426703,1.1531128921480849,2.81284558254082,1.2357799847806676
3,0.06406911682662574,0.05524856112338497,0.976853854869745,0.17479056648208596,1.1318390616630793,2.8092946342986345,1.2396821326537246
4,0.06496430778355453,0.05509359459567066,0.9011816278331607,0.1716096895236393,1.1689082905919217,2.802618592566881,1.387678631878234
5,0.0635805173408913,0.057943857269978555,0.9758570189832311,0.1773837215252506,1.0461334738007952,2.4337141245238185,1.4404922029707405
6,0.06607637624291379,0.055093456741987526,0.8783013227051073,0.18247919620749087,1.0107769185578002,2.568014842299623,1.2498194524256665
7,0.0655073952379654,0.05126201629042383,0.9220858191817396,0.19793032960410264,0.9917931412132086,2.7348426174391935,1.4199058055800091
8,0.06451083158045019,0.053813896711998536,0.9769611618555049,0.1743032198397803,1.128772065546995,2.77158030421405,1.2171020659553728
9,0.06675596866394765,0.053580942003247,0.826068148076561,0.17364178321762197,1.0835652430702918,2.7896513308199826,1.3070971782213314
10,0.0667618504432551,0.05274407834626194,0.8188245998448491,0.19550086321480548,1.144292534384918,2.7953396056309883,1.4145457390124887
11,0.06430568672088871,0.055857894298605,0.9187489080376372,0.16206047136396273,1.1664492823808947,2.795732766668458,1.4725364910197467
12,0.06635565444489826,0.05156053698225088,0.871151582413797,0.1820323642787628,1.0974174282749958,2.7694877815650125,1.3652783242730238
13,0.06789633367188927,0.05019073966215817,0.8195065352337165,0.17306775099477179,1.0841365528600155,2.563596483313032,1.3458158724439229
14,0.0666139337320477,0.051872744382389764,0.8553301686489646,0.1659608364294426,1.1253638498749723,2.8070423686290016,1.31674954072406
15,0.06415435438406686,0.05855270056840333,0.9210692061332129,0.1921499783119846,1.0027354701063975,2.6239586457970203,1.3864858346380795
16,0.06590217400725637,0.05336763528083685,0.8839364038944968,0.19228063442636795,1.0381921658657858,2.847012968970046,1.2520810528010704
17,0.0679714179952331,0.05155760108944331,0.8218115306852506,0.19168283879315698,1.0046142916895693,2.3620037449010804,1.309131656516538
18,0.06534942408525699,0.05050047580637742,0.9766738924062023,0.17062214425017116,1.0678406037969113,2.377356200455112,1.4353526945536688
