t,eta,attack,drift,shots,n_eff,qber_mean,qber_obs,secrecy_margin,leakage_burden,psi,dpsi_dt,dqber_dt,phase,scenario,repeat
0.0,0.035,0.08,0.008,10000,9768,0.0466,0.047706797706797706,0.40974393897083816,0.09498009828009828,3.724944899734892,-0.12786565412472362,0.0016380016380016377,secure,low_disturbance,0
1.0,0.035,0.08,0.008,10000,9768,0.04699804935090304,0.049344799344799344,0.39567871701711854,0.09620859950859952,3.5970792456101686,0.13846221662719782,-0.001740376740376741,secure,low_disturbance,0
2.0,0.035,0.08,0.008,10000,9768,0.04739523800649668,0.044226044226044224,0.4402056266288217,0.09236953316953317,4.001869332989288,0.0,0.0,secure,low_disturbance,0
3.0,0.035,0.08,0.008,10000,9768,0.04779070763057752,0.049344799344799344,0.39567871701711854,0.09620859950859952,3.5970792456101686,-0.2498510186957772,0.0031736281736281756,secure,low_disturbance,0
4.0,0.035,0.08,0.008,10000,9768,0.04818360459868807,0.050573300573300575,0.3852384025157507,0.09712997542997544,3.5021672955977334,-0.01586505719858189,0.00020475020475020644,secure,low_disturbance,0
5.0,0.035,0.08,0.008,10000,9768,0.048573082337842015,0.049754299754299756,0.3921884044334305,0.09651572481572482,3.565349131213005,0.0753328648815228,-0.0009725634725634737,secure,low_disturbance,0
6.0,0.035,0.08,0.008,10000,9768,0.048958303646921955,0.04862817362817363,0.4018116327896857,0.09567113022113023,3.652833025360779,-0.08643580404391482,0.001126126126126125,secure,low_disturbance,0
7.0,0.035,0.08,0.008,10000,9768,0.04933844299138945,0.052006552006552006,0.3731725275437693,0.098204914004914,3.392477523125175,-0.06350789378635513,0.0008190008190008188,secure,low_disturbance,0
8.0,0.035,0.08,0.008,10000,9768,0.04971268876601783,0.050266175266175266,0.38783989615668757,0.09689963144963144,3.5258172377880688,0.11025094848898709,-0.0014332514332514347,secure,low_disturbance,0
9.0,0.035,0.08,0.008,10000,9768,0.05008024551944568,0.04914004914004914,0.3974277362113464,0.09605503685503686,3.6129794201031493,-0.04714588059927416,0.0006142506142506159,secure,low_disturbance,0
10.0,0.035,0.08,0.008,10000,9768,0.050440336134453784,0.0514946764946765,0.37746780242484723,0.09782100737100738,3.4315254765895205,0.031918491631131696,-0.0004095004095004094,secure,low_disturbance,0
11.0,0.035,0.08,0.008,10000,9768,0.05079220395798933,0.04832104832104832,0.4044498043701954,0.09544078624078624,3.6768164033654127,-0.08923772115939599,0.0011773136773136766,secure,low_disturbance,0
12.0,0.035,0.08,0.008,10000,9768,0.05113511487509938,0.05384930384930385,0.3578355037697801,0.09958697788697789,3.2530500342707285,-0.08338576697049471,0.0010749385749385769,secure,low_disturbance,0
13.0,0.035,0.08,0.008,10000,9768,0.051468359321088945,0.05047092547092547,0.3861049356366866,0.09705319410319412,3.5100448694244233,0.11668963970388946,-0.001535626535626538,secure,low_disturbance,0
14.0,0.035,0.08,0.008,10000,9768,0.051791254226388445,0.050778050778050775,0.3835072245046358,0.09728353808353808,3.4864293136785074,-0.10149196927616733,0.0013308763308763315,secure,low_disturbance,0
15.0,0.035,0.08,0.008,10000,9768,0.05210314488879996,0.053132678132678135,0.36377670239592974,0.0990495085995086,3.3070609308720886,-0.1550399286942854,0.0020475020475020506,secure,low_disturbance,0
16.0,0.035,0.08,0.008,10000,9768,0.052403406767990414,0.054873054873054876,0.34939844019189303,0.10035479115479116,3.1763494562899366,0.034918258619397013,-0.00046068796068796103,secure,low_disturbance,0
17.0,0.035,0.08,0.008,10000,9768,0.05269144719731326,0.05221130221130221,0.3714587192921971,0.09835847665847666,3.3768974481108827,0.1589729955213468,-0.0020986895986895987,secure,low_disturbance,0
18.0,0.035,0.08,0.008,10000,9768,0.05296670700826649,0.05067567567567568,0.38437249920658934,0.09720675675675676,3.49429544733263,0.15396267755464166,-0.0019963144963144955,secure,low_disturbance,0
19.0,0.035,0.08,0.008,10000,9768,0.05322866206313473,0.04821867321867322,0.40533050835421824,0.09536400491400492,3.684822803220166,-0.09748333667184506,0.0012796887796887799,secure,low_disturbance,0
20.0,0.035,0.08,0.008,10000,9768,0.053476824691614196,0.05323505323505324,0.3629261651387834,0.09912628992628993,3.29932877398894,-0.18114057757097335,0.0023546273546273533,secure,low_disturbance,0
21.0,0.035,0.08,0.008,10000,9768,0.05371074502748315,0.05292792792792793,0.36547958128860414,0.09889594594594595,3.3225416480782193,-0.007723979960612581,0.00010237510237509975,secure,low_disturbance,0
22.0,0.035,0.08,0.008,10000,9768,0.05393001224165393,0.05343980343980344,0.36122688954744864,0.09927985257985258,3.283880814067715,-0.0038715479144069143,5.118755118755161e-05,secure,low_disturbance,0
23.0,0.035,0.08,0.008,10000,9768,0.05413425566822691,0.05303030303030303,0.3646278407474346,0.09897272727272728,3.3147985522494054,-0.20456114217030552,0.002764127764127766,secure,low_disturbance,0
24.0,0.035,0.08,0.008,10000,9768,0.05432314582046,0.05896805896805897,0.31622343826998145,0.10342604422604423,2.874758529727104,0.12527528948179967,-0.0016380016380016377,secure,low_disturbance,0
25.0,0.035,0.08,0.008,10000,9768,0.05449639529386886,0.049754299754299756,0.3921884044334305,0.09651572481572482,3.565349131213005,0.19684803193224587,-0.002661752661752663,secure,low_disturbance,0
26.0,0.035,0.08,0.008,10000,9768,0.054653759553982675,0.053644553644553644,0.3595300052950755,0.09943341523341524,3.2684545935915956,-0.0512420198371808,0.000665438165438164,secure,low_disturbance,0
27.0,0.035,0.08,0.008,10000,9768,0.05479503760659604,0.051085176085176084,0.38091516006925075,0.09751388206388206,3.462865091538643,0.08153544149896241,-0.0010749385749385734,secure,low_disturbance,0
28.0,0.035,0.08,0.008,10000,9768,0.05492007254868023,0.0514946764946765,0.37746780242484723,0.09782100737100738,3.4315254765895205,-0.1927176158548911,0.0025593775593775597,secure,low_disturbance,0
29.0,0.035,0.08,0.008,10000,9768,0.05502875199844341,0.056203931203931204,0.3385172845811747,0.10135294840294841,3.077429859828861,0.04714588059927416,-0.0006142506142506159,secure,low_disturbance,0
30.0,0.035,0.08,0.008,10000,9768,0.05512100840336134,0.050266175266175266,0.38783989615668757,0.09689963144963144,3.5258172377880688,-0.007570082339306339,0.00010237510237510322,secure,low_disturbance,0
31.0,0.035,0.08,0.008,10000,9768,0.05519681922533417,0.05640868140868141,0.3368518664665273,0.10150651105651105,3.0622896951502483,-0.16708518713937281,0.002201064701064702,secure,low_disturbance,0
32.0,0.035,0.08,0.008,10000,9768,0.05525620700246174,0.05466830466830467,0.35108115498602555,0.1002012285012285,3.191646863509323,-0.030177379057265252,0.0004095004095004094,secure,low_disturbance,0
33.0,0.035,0.08,0.008,10000,9768,0.05529923928726831,0.05722768222768223,0.33021284307392895,0.10212076167076167,3.001934937035718,-0.06845974938677646,0.0009213759213759221,secure,low_disturbance,0
