eta,attack,drift,shots,n_repeats,n_eff,qber_mean_det,qber_obs_mean,qber_obs_sd,qber_obs_ci_low,qber_obs_ci_med,qber_obs_ci_high,margin_mean,margin_sd,margin_ci_low,margin_ci_med,margin_ci_high,psi_mean,psi_sd,psi_ci_low,psi_ci_med,psi_ci_high,mean_leakage,p_secure,p_transition,p_insecure,dominant_phase,dp_secure_deta,profile_attack,profile_drift
0.01,0.1,0.005,10000,250,9765,0.029685984262542334,0.0297663082437276,0.0017816164331195734,0.026318484383000513,0.029800307219662057,0.03366871479774705,0.5806601662042192,0.017923941260866917,0.5420009547437895,0.5801601722562642,0.6157808785872557,5.27872878367472,0.1629449205533356,4.927281406761723,5.274183384147856,5.59800798715687,0.0918247311827957,1.0,0.0,0.0,secure,0.0,0.1,0.005
0.0125,0.1,0.005,10000,250,9765,0.032185984262542336,0.03212780337941628,0.001774273704421275,0.028389656938044038,0.03225806451612903,0.03546594982078853,0.5571790648445817,0.017456365668664313,0.5247342494488519,0.5557539915320142,0.5944378235959059,5.065264225859833,0.15869423335149374,4.770311358625927,5.052309013927402,5.403980214508236,0.09359585253456222,1.0,0.0,0.0,secure,0.0,0.1,0.005
0.015,0.1,0.005,10000,250,9765,0.03468598426254234,0.03480184331797235,0.001915604966873447,0.031541218637992835,0.03481822836661547,0.03868663594470046,0.5312384887314212,0.018355525393268346,0.49446364748122323,0.5309245601789128,0.5628128801594614,4.829440806649283,0.16686841266607585,4.49512406801112,4.826586910717388,5.116480728722377,0.09560138248847927,1.0,0.0,0.0,secure,0.0,0.1,0.005
0.0175,0.1,0.005,10000,250,9765,0.03718598426254234,0.03722887864823349,0.0018512987799350698,0.03345366103430619,0.037378392217101895,0.04065540194572453,0.508198527071626,0.017398119922497974,0.4763606976024412,0.5066583807230062,0.5440866885456831,4.619986609742054,0.15816472656816336,4.330551796385829,4.605985279300056,4.946242623142574,0.09742165898617512,1.0,0.0,0.0,secure,0.0,0.1,0.005
0.02,0.1,0.005,10000,250,9765,0.039685984262542336,0.03972309267793139,0.0020149952193841444,0.03580901177675371,0.0395289298515105,0.04396569380440348,0.48504997245880244,0.018534198616255677,0.4465631013309737,0.4866826763099055,0.5214695852305165,4.40954520417093,0.16849271469323343,4.059664557554306,4.424387966453686,4.740632593004695,0.09929231950844855,1.0,0.0,0.0,secure,0.0,0.1,0.005
0.0225,0.1,0.005,10000,250,9765,0.04218598426254234,0.04223573988735279,0.0019781434195859583,0.03844854070660522,0.04229390681003584,0.04616231438812084,0.46217651086022216,0.017807736980472902,0.4272081753954355,0.4615138498922809,0.49667325544192154,4.2016046441838375,0.16188851800429913,3.8837106854130496,4.19558045356619,4.515211413108377,0.10117680491551459,1.0,0.0,0.0,secure,0.0,0.1,0.005
0.025,0.1,0.005,10000,250,9765,0.04468598426254234,0.0447336405529954,0.0019309193176961002,0.040599078341013825,0.04485407066052227,0.04859703020993344,0.4398849093872534,0.017071584658125343,0.40612507031726225,0.4386960239103786,0.47687481668628107,3.998953721702303,0.15519622416477583,3.692046093793293,3.9881456719125326,4.335225606238919,0.10305023041474655,1.0,0.0,0.0,secure,0.0,0.1,0.005
0.027500000000000004,0.1,0.005,10000,250,9765,0.04718598426254234,0.04714429083461341,0.002039412862136663,0.04315924219150026,0.04720942140296979,0.05089605734767025,0.418792178763945,0.01769278457167615,0.38655657023623263,0.4180942550675944,0.4537507486632892,3.807201625126773,0.16084349610614682,3.5141506385112056,3.800856864250858,4.125006806029902,0.10485821812596006,1.0,0.0,0.0,secure,0.0,0.1,0.005
0.03,0.1,0.005,10000,250,9765,0.04968598426254233,0.04952217101894521,0.00204698676846807,0.0459805427547363,0.04946236559139785,0.05335381464413722,0.39833957569943756,0.017451991776124075,0.36598620063669524,0.39872156683751786,0.42879750405529654,3.6212688699948865,0.15865447069203703,3.3271472785154113,3.6247415167047077,3.8981591277754233,0.10664162826420892,1.0,0.0,0.0,secure,0.0,0.1,0.005
0.0325,0.1,0.005,10000,250,9765,0.05218598426254233,0.05232442396313364,0.002367081422071922,0.047949308755760374,0.052329749103942655,0.05711981566820276,0.37472086473165067,0.019754117230959975,0.3351311827736572,0.37451436638508,0.4116969427616891,3.4065533157422787,0.17958288391781796,3.046647116124156,3.404676058046182,3.7426994796517192,0.10874331797235023,1.0,0.0,0.0,secure,0.0,0.1,0.005
0.035,0.1,0.005,10000,250,9765,0.054685984262542335,0.05473425499231951,0.0022665721335761394,0.0503968253968254,0.05458269329237071,0.05919098822324629,0.35472732232790544,0.018613752732834766,0.31848893136689443,0.35583139450046414,0.39077986923161145,3.2247938393445947,0.1692159339348615,2.895353921517222,3.2348308590951285,3.5525442657419224,0.11055069124423965,1.0,0.0,0.0,secure,0.0,0.1,0.005
0.0375,0.1,0.005,10000,250,9765,0.05718598426254234,0.05718136200716846,0.0025064615356008386,0.05212493599590374,0.05734767025089606,0.06152329749103942,0.33480149819804966,0.020319691939206255,0.3000142632660059,0.3332891740923752,0.3762272858974372,3.0436499836186335,0.18472447217460233,2.727402393327326,3.0299015826579563,3.4202480536130655,0.11238602150537635,1.0,0.0,0.0,secure,0.0,0.1,0.005
0.04,0.1,0.005,10000,250,9765,0.05968598426254234,0.05959897593445981,0.002386746233623039,0.05520993343573989,0.05949820788530466,0.06465181771633385,0.3153828763607681,0.018972327340661312,0.27565824206886974,0.3160394817245938,0.3506821381434019,2.867117057825165,0.172475703096921,2.505984018807906,2.873086197496307,3.18801943766729,0.11419923195084485,1.0,0.0,0.0,secure,0.0,0.1,0.005
